,context,question,answerA,answerB,answerC,correct
316,"A Riley deu ao Casey um relatório que escreveram na aula, e a Riley prometeu lê-lo naquela noite.",O que vai acontecer ao Riley?,Tenho de ler o relatório.,ser gritado por Casey,Coloca-a na mochila para a guardar,C
317,A nova colega de quarto da Jan tentou guardar coisas no quarto dela.,O que é que a Jan precisa de fazer antes disto?,expulsa a colega de quarto.,Colocar um anúncio para um novo colega de quarto,Deixa o Jan em paz.,B
318,"O Addison não tinha energia, por isso ligou para a empresa elétrica.",O que os Outros vão querer fazer a seguir?,Descobre porque é que a Addison não tem poder .,Ignora a Addison .,Diz-lhes,A
319,Bailey foi um grande sucesso na escola.,o que Bailey fez antes disso?,nunca foi para a escola,obter um bom emprego,foi para a escola todos os dias,C
320,Tracy disse a seus amigos que encontrou algum dinheiro na rua.,O que os outros vão querer fazer a seguir?,Trow Away O Dinheiro,Vai comer uma pizza,Necessário para contar o dinheiro,C
321,Quin estava preocupado com as notas da escola e foi pelo caminho errado numa rua de sentido único antes de perceber rapidamente o erro.,Porque é que o Quinn foi pelo caminho errado?,Vai pelo caminho certo.,Começar uma aventura perigosa,Pensem nos resultados dos seus testes.,C
322,Robin era um excelente jogador de bridge envolvido num jogo longo.,Como é que a Robin se sentiria depois?,excitado,frustrado,insegura,A
323,Lee escreveu o trabalho e acabou por receber uma nota incrível do professor.,O que é que o Lee precisa de fazer antes disto?,precisava de ser desinformado,pendura o papel no frigorífico,precisava ser um excelente aluno,C
324,"A Addison tinha perdido a mãe na loja, mas depois a encontrou.",O que é que a Addison vai querer fazer a seguir?,Fica com a mãe dela.,conduzir para a loja,Vai às compras.,A
325,"A Tracy queria surpreender o Alex, por isso, ela esgueirou-se por trás dele e saltou para ele.",Como Alex se sentiria?,Feliz porque esperava que a Tracy saltasse para ele .,irritado porque ele disse à Tracy para ir embora.,Confuso porque não sabia que a Tracy o estava a seguir.,C
326,Alex derrotou todos os soldados até não restar ninguém para desafiá-lo no combate.,Como se sentiriam os Outros?,confiante,muito orgulhoso,derrotado,C
327,"Sasha tocou suavemente o braço deles, passando o dedo sobre onde a incisão foi feita.",Como descreveria a Sasha?,um paciente,enfermeira,Assustado,A
328,Jesse enfrentou a pessoa que machucava durante o período em que estava em uso de drogas.,O que a pessoa quer fazer a seguir?,Agradecer Jesse pela candidatura,Apologize pelas suas ações,Peça perdão,A
329,Lee falou com o chefe sobre como eles podem evoluir melhor.,O que acontecerá com Lee?,ser admirado pelos colegas de trabalho,parecer uma pessoa ruim,risos pelos trabalhadores,A
330,"Sasha não dava valor à família da Sydney, apesar de terem feito muito por ela.",Como descreveria a Sasha?,simpático,Desconsiderado,quente,B
331,Carson finalmente bateu e ganhou o jogo de beisebol para a sua equipa.,Como se sentiriam os Outros?,Um jogador de equipa,Um bom jogador de basebol.,extático,C
332,Jan passou o exame com excelência e logo obteve um bom diploma.,O que vai o Jan querer fazer a seguir?,Queria arranjar um bom emprego.,preguiçoso,inteligente,A
333,"Kendall estava aborrecida, por isso jogaram a pedra na água.",Porque é que a Kendall fez isto?,Eles estavam a tentar encontrar algo divertido .,Encontre uma pedra.,Eles estavam a tentar marcar um recorde .,A
334,"O Sasha tinha tido o suficiente do bullying e pressão no trabalho, então foi ter com o Casey, o chefe, e demitiu-se no escritório do Casey.",Porque é que o Sasha fez isto?,Relate o bullying para as notícias,Queria deixar a organização,encontrar um novo emprego,B
335,"Skylar apenas falava em inglês, e não conseguia entender a mulher chinesa.",O que o Skylar precisa fazer antes disso?,nunca aprendeu chinês,ser conversada por uma mulher japonesa,nunca aprender uma nova linguagem,A
336,Sasha pediu ao Ash para voltar depois de ele ter encontrado outro emprego na cidade.,Como se sentiria Ash?,irritado,lisonjeado,rejeitado,B
337,Jesse foi a um restaurante chique com um amigo e decidiu não pagar.,O que é que o Jesse precisa de fazer antes disto?,Veja a conta .,comprar um cão,Vai ao zoológico.,A
338,Ash conhecia Alex há anos e fazia tudo o tempo.,Como descreveria Ash?,próximo de Ash,bem,Como alguém que tinha uma boa amizade,A
339,"O Riley vingou a morte do irmão, o espírito dele finalmente descansou.",O que é que a Riley precisa de fazer antes disto?,Compre uma colher,Compre uma espada.,acaricia-lhe as costas,B
340,Alex foi a uma pizza com Cameron após ganhar um prêmio.,Como descrever Alex?,equivocação,ic,adjudicação,C
341,O Alex começou a engasgar-se com o camarão que comeu e ficou azul.,O que é que a Alex precisa de fazer antes disto?,O camarão preso na garganta,Tossir o camarão para fora,Ele precisa de ajuda desde que ele está a sufocar .,A
342,Taylor também jogava futebol e foi oferecido uma bolsa para uma faculdade.,O que é que a Taylor vai querer fazer a seguir?,Aceitar a derrota,jogar basebol na faculdade,jogar futebol na faculdade,C
343,Taylor fez batidos de frutas para o pequeno-almoço para manter a dieta.,Como descreveria a Taylor?,pessoa saudável,comer fruta para jantar,desenvolver um distúrbio alimentar,A
344,A Sydney foi a um restaurante fantástico ontem à noite e gostou muito da refeição.,O que é que a Sydney precisa de fazer antes disto?,Deixe gorjeta para o garçom .,Deixe gorjeta na mesa .,encontrar um bom lugar para comer,C
345,Jan foi fazer uma pipa voar porque eles queriam muito estar lá fora no belo dia de primavera.,Como descreveria o Jan?,Encantado.,uma pessoa extrovertida,um pouco de um eremita,A
346,"O Carson sempre se interessou pela irmã do seu amigo Cameron, finalmente arranjou coragem para lhe contar.",Como se sentiria Cameron?,tímido,irritado,excitado,C
347,"A Aubrey era uma pessoa egoísta, mas ainda assim agradeceu ao amigo.",Como descreveria o Aubrey?,bom em agradecer ao seu amigo,tão zangado,tão calmo,A
348,A Kendall procurava uma casa para comprar porque finalmente podia pagar uma.,O que é que a Kendall precisa de fazer antes disto?,Poupem o dinheiro deles.,Arquivo de falência,Procura apartamentos .,A
349,Sasha arrastou-os para fora da cama porque estavam atrasados.,Porque é que o Sasha fez isto?,expressar a sua raiva,Despacha-te .,Chega a tempo .,C
350,Sasha encontrou-se com o líder do país para discutir os acordos comerciais entre as nações.,O que vai acontecer com o Sasha?,inteligente,preguiçoso,receber conselhos sobre o que fazer,C
351,Alex disse ao pai que eles iam chegar atrasados à festa.,Como descreveria o Alex?,Deprimido,orientado para a família,aborrecido,B
352,Cameron chamou a Addison de idiota por causa da decisão que ela tomou ontem.,Porque é que a Cameron a chama assim?,Precisava de saber que a Addison estava a fazer alguma coisa.,Certificar-se que ela sabia que não era uma escolha inteligente,Precisava de ver a Addison a fazer alguma coisa.,B
353,"O Remy convidou a Kendall para sair, apesar de ela o ter rejeitado antes.",O que vai acontecer com a Kendall?,Tenho de rejeitar o Remy outra vez.,Apaixonar-me pelo Remy.,triste,A
354,O Kai não se sentia muito bem e estava no quarto dele.,O que vai a Skylar querer fazer a seguir?,Retribui o favor.,Ajuda o Kai.,Fazer o Kai chorar.,B
355,"A Bailey era boa pessoa, por isso jogava basquetebol com uma amiga.",Como é que a Bailey se sentiria depois?,Refrescado,brincalhão,exausto,C
356,O Jesse foi de bicicleta com a Jan porque não conseguiam encontrar a própria.,O que é que o Jesse vai querer fazer a seguir?,Roubar a bicicleta do Jan.,ir de bicicleta,Pague por isso.,B
357,Addison usava o uniforme com orgulho porque era soldado.,O que é que a Addison vai querer fazer a seguir?,rasga o uniforme.,Queima-o .,Mostra-o .,C
358,Alex decide que começariam a ir à igreja para baixo da rua.,Por que o Alex fez isso?,ter uma igreja para pregar,ir à igreja,prega na igreja,B
359,Addison caminhou até uma pessoa sem-teto na rua e doou dinheiro.,Como se sentiria a Addison depois?,generoso,inocente,simpático,A
360,A Tracy virou-se para o Casey e perguntou-lhes se tinham visto o filme antes.,Como se sentiria o Casey?,Como responder ao amigo deles,intrometido,interessados,A
361,Sydney virou a cara para longe de Jordan depois que ele contou uma piada de mau gosto.,O que vai querer fazer a seguir?,Peça desculpa à Sydney por a ter ofendido .,Continuem a contar piadas de mau gosto .,Ouça com atenção.,A
362,O Casey ensinou a Cameron a fazer o trabalho deles em caso de emergência.,Porque fez o Casey isto?,Caso tenham mais trabalho.,Aprender o seu trabalho,Caso algo aconteça.,C
363,"Jordan deu algo para o irmão no Natal, mas disse-lhes para não abrirem até Ano Novo.",O que vai querer fazer a seguir?,Certifique-se de que não está embrulhado cedo.,ver a reação de seus irmãos quando eles o jogam no lixo,Certifique-se de que não é aberto cedo,C
364,O Ash pediu à loja se podiam enviar-lhes alguns itens para um casamento.,O que os Outros vão querer fazer a seguir?,- Vai-te embora.,Preparar os itens,alugar um barco,B
365,A Jordan virou-se em volta do Jesse com a mangueira do jardim.,O que vai querer fazer a seguir?,Era normalmente um obstáculo,Regue o jardim,Gostava de enrolar,B
366,"No caminho de casa do trabalho, Sasha comprou leite na loja.",O que é que o Sasha precisa de fazer antes disto?,usar o leite para fazer o jantar naquela noite,Receber uma mensagem de que não têm leite.,Deixe o leite na loja,B
367,O Casey estava à espera de notícias da admissão na faculdade quando o correio chegou.,O que é que o Casey precisa de fazer antes disto?,Obter um diploma,Ir para a faculdade,Vai buscar o correio.,C
368,Lee estava olhando para os olhos de Jordan e viu um pouco de tristeza neles.,O que Lee vai querer fazer a seguir?,melhor,Passivo,desviar o olhar,C
369,"O Ashe queria ver o Carson novamente, por isso ligou e fez planos com ele.",O que vai acontecer ao Ash?,Amado,Ver o Carson outra vez .,Fique isolado.,B
370,O Carson sentiu-se tolo quando disse algo engraçado aos amigos deles.,Como é que o Carson se sentiria depois?,Como se tivessem dito algo engraçado.,Como se pudessem ser estúpidos,Como se fossem engraçados,C
371,"A Riley decidiu dar um passeio, mas só pôde fazer isso depois de arranjar comida e alimentar os peixes.",O que é que a Riley precisa de fazer antes de dar um passeio?,Alimentem os peixes.,- Vamos comer .,Come um pouco de peixe.,A
372,O Remy tornou o cabelo mais macio usando um condicionador sofisticado.,O que é que o Remy vai querer fazer a seguir?,Vai à loja,Compra-o .,usar o condicionador com mais frequência,C
373,Alex disse à irmã Tracy que estava grávida assim que descobriu.,O que é que o Alex vai querer fazer a seguir?,fazer um teste de gravidez,Começar a escolher uma parteira,Estar em choque .,B
374,A Tracy magoou o braço depois de bater na parede em frustração.,O que é que a Tracy vai querer fazer a seguir?,matar alguém.,Sê um homem duro .,Fique calmo.,C
375,Jan mudou de lugar para outro na esperança de encontrar um emprego que valha a pena.,Porque é que o Jan fez isto?,pesquisa na Internet,preguiçoso,orgulhoso,C
376,"A Skylar ficou pior em matemática, se é possível.",Como descreveria a Skylar?,Uma pessoa estúpida.,Ela teria vergonha de não entender matemática.,Um bom aluno.,B
377,Bailey era um repórter de jornal que teve uma entrevista exclusiva com uma famosa atriz reclusa.,Porque é que a Bailey fez isto?,Encontre a localização da atriz.,Queria um emprego melhor no jornal.,Peça permissão para entrevistar a atriz.,B
378,O Carson passou a mão pelo cabelo do Jesse depois de ele ter chorado e tremer.,Porque fez o Carson isto?,intimidar o Jesse.,Beija o Jesse .,Asegura o Jesse.,C
379,A Kai reuniu o Jesse com as chaves e foram para a cidade para o grande carnaval.,Como é que o Kai se sentiria depois?,Amado agora,muito inclusivo,Passiva agora.,A
380,A Remy fez o seu melhor e comprou almoço para a Kendall.,O que é que a Kendall vai querer fazer a seguir?,Convida a Kendall para almoçar.,Agradeça ao Remy .,Dirigir para a casa da Kendall.,B
381,A Riley fez uma reforma e o quarto parecia uma pintura verde.,Porque é que a Riley fez isto?,orgulhoso,Admiro a nova transformação .,preguiçoso,B
382,A Skylar monitorava a frequência cardíaca do paciente para ter a certeza de que estavam saudáveis.,Como é que a Skylar se sentiria depois?,melhor com o paciente,- Furioso com o paciente.,monitorizou o coração do paciente,A
383,Jesse interpretou o papel de Cameron na peça e aprendeu bem o personagem.,Como descreveria o Jesse?,Como alguém na peça,Como alguém que escreveu bem o personagem,orgulhoso de si mesmo.,A
384,"A Tracy deu problemas ao Quinn, por isso, o Quinn deixou de ser amigo dela.",Como se sentiria a Tracy depois?,Muito aliviado.,Muito satisfeito.,Muito arrependido.,C
385,"Ao perder o peão, Remy deu uma grande vantagem para Kendall na partida.",O que vai acontecer com a Kendall?,Provavelmente ganhar o jogo.,Perder o jogo.,Ele vai perder .,A
386,Riley trouxe Quinn para a cena para a execução do ato final.,Como senti-lo-ia Quinn?,indiferente agora,um hospedeiro de um espetáculo,agora qualificada,B
387,Kendall agarrou os quadris da Robin enquanto dançavam no baile.,O que vai querer fazer a seguir?,Aproxima o Robin .,beija a Robin .,Dança de volta .,C
388,A Sydney fez com que as observações da Cameron parecessem tolas à mesa.,Como se sentiria Cameron?,Um malandro.,respeitado,menosprezado,C
389,A Sasha estendeu a punição da Skylar na reunião de despesas porque sentiu que não aprendeu a lição.,Porque é que a Sasha fez isto à Skylar?,Fazer com que a Skylar se comporte .,Casar com a Skylar.,Amo a Skylar mais .,A
390,Kai convidou seus amigos para a festa de graduação na sala de mídia.,O que acontecerá com os outros?,ão,Tomar fotos,ir com seus acompanhantes,A
391,Addison deu comida ao gatinho quando ele estava com fome.,O que é que a Addison precisa de fazer antes disto?,Sorria para o gatinho.,acaricie o gatinho,Arranjar comida para o gatinho,C
392,Jesse foi se inclinar na cadeira da mesa e quebrou a parte de trás da cadeira.,Como se sentiria o Jesse depois?,feliz,mau,muito pesado,B
393,Taylor pegou o carro de volta da prisão depois que a polícia pegou o homem que o roubou.,O que vai acontecer com o ladrão?,Preso até o julgamento,ser feliz,chegar a conduzir o carro,A
394,"O Ash comprou um novo telefone, depois de usar o mesmo velho durante os últimos dez anos.",O que é que o Ash precisa de fazer antes disto?,poupar dinheiro para comprar um carro novo,escolher um novo operador de telefonia,Acompanhe as novidades,B
395,Kendall colocou as peças de Lego de volta juntas depois de as derrubar.,O que é que a Kendall precisa de fazer antes disto?,derrubar os Legos,Compre mais Lego.,Ajuda o amigo a montá-lo .,A
396,A Tracy levantou uma sobrancelha para o Aubrey depois que o Aubrey fez uma pergunta ofensiva sobre a Tracy.,O que é que a Tracy vai querer fazer a seguir?,expressões de controlo,Queria desanimar o adversário.,Queria expressar o descontentamento,B
397,Jesse gostava de jogar futebol e muitos outros esportes também.,Como descreveria o Jesse?,qualificado,preguiçoso,inativo,A
398,O Lee começou o dia tarde porque dormiam o despertador e quando acordaram perceberam que estavam atrasados para o trabalho.,O que é que o Lee vai querer fazer a seguir?,Trabalhar com o anel e pedir desculpa.,dormindo demais,Preparem-se devagar .,A
399,Austin e Taylor eram vizinhos há cinco anos.,Como se sentiria Austin?,Estou contente por ter o Austin como vizinho.,útil,nervoso,B
400,O Carson estava a jogar futebol pela equipa da escola e marcou o touchdown vencedor.,O que é que a equipa dele vai querer fazer a seguir?,Celebra com a equipa.,mantém o futebol vencedor,Abraça-o .,A
401,Jesse encontrou uma maneira de expressar seus sentimentos para sua namorada depois de um longo dia.,Como se sentiriam os Outros?,zangado com os outros,Mais perto do Jesse.,são emocionais,B
402,Sasha apresentou outro amigo ao rapaz que conheceu.,Porque é que o Sasha fez isto?,Fazer o rapaz ser o namorado dela.,- Não .,Fazer com que se odeiem .,B
403,A Skylar comprou um novo cão e levou-o para casa.,O que vai a Skylar querer fazer a seguir?,alugar uma quinta,mostrar o cão à família,Sair da cidade,B
404,Casey fez a massa para a pizza e todos os clientes ficaram satisfeitos.,Como Casey se sentiria depois?,feliz,Desprezado,capaz de fazer massa de pizza,A
405,Riley voltou para trás de Sasha após abandonar a escola e deixar de trabalhar.,Por que o Riley fez isso?,≥1/ 1. 000 a < 1/ 1. 000 a < 1/ 1.,casado,parar a relação,C
406,O Austin foi jantar com o amigo que era polícia e percebeu que tinha muito em comum com os polícias.,Como é que o Austin se sentiria depois?,triste,irritado,feliz,C
407,"Querendo ver o campo e sair da cidade, Carson fez uma viagem.",Como é que o Carson se sentiria depois?,Aborrecer-se,pacífico,tão ambicioso,B
408,"Porque a Jan a ajudou numa tarefa difícil, a Casey deu um presente à Jan.",Como é que o Casey se sentiria depois?,Modesta sobre o que ela fez,Uma pessoa simpática.,orgulhosa do que ela fez.,B
409,O Remy baseou-o no princípio de que não queriam perturbar ninguém.,Como descreveria o Remy?,uma pessoa justa,irritado,uma pessoa que magoa,A
410,Riley deu meias para o menino usar durante as noites frias de inverno.,O que vai acontecer com Riley?,Tente encontrar suas próprias meias,Pergunte a Riley por meias também,Amado,C
411,Addison deu ao catador de contas o dinheiro suficiente para cobrir as obrigações do vizinho.,O que queremos?,Agradecimento a Addison,ser generoso,úlceras,A
412,"Depois de perceber que sua tinta de cabelo estava manchando-os, Lee não usava mais chapéus.",Porque é que o Lee fez isto?,Não tingam o cabelo.,Não usar chapéus.,mantêm os chapéus em boas condições,C
413,"Skylar ignorou a mãe de Remy, correndo para a seção de brinquedos da loja e foi punida como resultado.",Como é que a Skylar se sentiria depois?,Como se ela fosse uma criança má.,Feliz por ter sido apanhada.,Agradecido à mãe do Remy.,A
414,"O Kai tinha a única chave da casa deles, até o Jesse a ter nas mãos do Kai.",Como é que o Kai se sentiria?,dominante,Encantado.,irritado,C
415,"Enquanto cozinhavam uma refeição juntos e cortavam legumes, Riley acidentalmente cortou sua amiga.",Como Riley se sentiria depois?,Como se houvesse um acidente,Descuidado e apologético,Como um bom rapaz,B
416,Cameron quebrou minha perna com o taco de beisebol porque eles estavam loucos por não receber seu dinheiro.,Como você descreveria Cameron?,raivoso agora,um criminoso,Terrível agora,B
417,"Como a família de Austin morava em outro estado, sempre que Austin queria visitá-los, Austin ia de ônibus para o outro lado do país.",O que é que o Austin vai querer fazer a seguir?,passar tempo com os entes queridos,visitar a família deles,Viver fora do estado,B
418,"Tracy passou uma semana com a família de Sydney, tiveram um bom tempo.",Por que o Tracy fez isso?,conhecer a família de Sydney,concordar em ir para o feriado,evitar a família de Sydney,A
419,A Aubrey arranjou um novo emprego à Skylar e eles estavam a ganhar muito mais dinheiro.,O que vai acontecer ao Aubrey?,estar deprimido,Seja grato,Odeio a vida.,B
420,"Lee conheceu Carson pessoalmente e, mesmo, como ele.",O que Lee precisa fazer antes disso?,Convidar o Carson a jantar,elaborar planos antes deste,tornar-se amigo de Carson,C
421,Sasha disse à Quinn que iam para uma nova cidade no ano que vem.,O que vai acontecer ao Quinn?,tornem-se corajosos,Mova-se também.,ficar zangado,B
422,A Skylar estava a tentar surpreender a Quinn com o vestido de noiva.,Como é que a Skylar se sentiria depois?,Esperançoso e feliz,É triste que a Quinn tenha visto o vestido.,Muito excitado.,B
423,"Bailey ligou para Carson pedindo uma solução médica não no armário de remédios, mais tarde ele encontrou a solução de Carson.",O que é que o Carson vai querer fazer a seguir?,Rejeite imediatamente a chamada.,Avisa o Bailey para ter cuidado .,Decidi ligar ao Carson para pedir ajuda.,B
424,O Taylor ia jogar todos os dias com os amigos na cidade.,Porque é que a Taylor fez isto?,Diverte-te,Vai para casa e relaxa .,preguiçoso,A
425,Sasha trabalhou duro o ano todo para ter tempo livre para passar o Natal com os filhos.,Como descreveria a Sasha?,Uma mãe atenciosa e que usa bem o tempo,Uma má mãe com mau gerenciamento do tempo.,Um viciado em trabalho que odeia crianças.,A
426,Lee correu para Quinn a notícia emocionante naquele dia.,O que Lee precisa fazer antes disso?,Ignorar Lee,Prepare suas palavras,Esquecer de dizer,B
427,Robin disse às pessoas para serem gentis com os outros na vida e eles serão recompensados.,Como descreveria a Robin?,triste,Aborrecido.,religioso,C
428,"De acordo com o artigo, o Quinn deu uma ideia ao Carson.",Como se sentiria o Quinn depois?,É muito útil.,- Tenho culpa.,Mal na mão,A
429,O Remy colocou um protetor solar no pára-brisa para evitar que o carro fique muito quente.,O que é que o Remy precisa de fazer antes disto?,conduzir o carro deles,Queria estar confortável.,cobrir o pára-brisas,B
430,"O Jordan era vendedor de seguros, era um dos melhores da empresa.",O que os Outros vão querer fazer a seguir?,comprar na Jordânia,Continuem a ter sucesso,arranjar um emprego ainda melhor.,A
431,A Aubrey perguntou à Tracy sobre o projeto porque não estavam na aula no dia em que foi discutido.,Porque é que o Aubrey fez isto?,Aprenda mais,Verifique duas vezes para garantir que está correto.,- Não .,A
432,"O Jordan tentou dormir, mas não se sentiu confortável.",O que é que a Jordan precisa de fazer antes disto?,Põe o pijama dele .,Beba café.,tomar algum medicamento para dormir,A
433,O Remy terminou o trabalho da Addison quando ele foi para casa mais cedo.,Como se sentiria Addison?,Um bom amigo.,Ficaria grato.,Obrigado Remy .,B
434,"Bailey desenvolveu o interesse de Quinn pelos esportes, levando-os a um jogo.",Como se sentiria o Quinn?,Um amigo gentil.,Foi bom ver o jogo .,Como se fizessem bem a fazer desporto .,B
435,A Sydney teve de tomar conta do Ash porque estava a tomar conta dele.,Porque é que a Sydney fez isto?,O seu trabalho.,Põe o pijama do Ash no Ash.,Preparem o Ash para a cama .,A
436,"Sydney era mais rápida que as outras crianças da escola, e dava-se a ludibriar a correr em círculos ao redor das outras.",O que é que a Sydney vai querer fazer a seguir?,Celebrar,Diz a todos como Sydney é fantástica.,O corredor mais rápido,A
437,O Austin estava a subir as escadas e quando chegou lá em cima lembrou-se de algo e regressou pelas escadas.,Porque é que o Austin fez isto?,Volta para cima.,Já tinha desligado as luzes.,Esqueci-me de trancar a porta.,C
438,A Skylar tomou a jogada ofensiva porque parecia mais prudente ser agressiva contra o adversário.,Como descreveria a Skylar?,um jogador passivo,Um jogador tímido.,um jogador agressivo,C
439,Carson anunciou a todos os planos que o comitê tinha feito para o aumento salarial.,Como se sentiriam os Outros?,Estou feliz por estar no loop .,Como se não lhes pagassem um salário justo.,O porta-voz do comité,A
440,A Bailey comprou roupas novas na loja e usou-as no espectáculo.,Como se sentiriam os Outros?,Muito rude.,Muito surpreendido.,Muito zangado.,B
441,A Addison parou o carro e eles viram um sinal para parar.,Como descreveria a Addison?,pessoa respeitadora da lei,consciente,inteligente,A
442,"O Lee estava apaixonado pela Bailey, por isso decidiu fazer um nome dela numa canção.",Porque é que o Lee fez isto?,Ouve a canção,Sê simpático com a Bailey .,Desrespeito Bailey.,B
443,Kai ensinou aos alunos da turma a importância de serem gentis e pacientes com os outros.,Como você descreveria Kai?,uma pessoa gentil,Eles são um professor honrado,uncaring,A
444,A Sydney esqueceu a comida em casa e não almoçou.,Como descreveria Sydney?,Ela come quando chegar a casa.,Aconteceu que ela deixou a comida em casa.,Fome sem almoço.,C
445,"O Lee sempre gostou de cozinhar, mas um dia queimaram toda a comida.",Como é que o Lee se sentiria depois?,Como um mau cozinheiro.,facilmente desligado,Como um bom cozinheiro.,A
446,O Casey estava no Vietname quando o Quinn passou-lhe de repente pela cabeça.,Como se sentiria o Quinn?,tão calmo,tão tenso,O amigo do Quinn.,C
447,Carson viveu toda a sua vida na Flórida e agora se mudou para outro estado.,O Carson vai querer fazer o quê depois de se mudar?,iniciar um novo emprego,ver os pontos turísticos,não descompactar coisas,B
448,A Aubrey já não precisava das roupas e decidiu pedir à Riley para as levar.,Porque é que o Aubrey fez isto?,ser uma pessoa gananciosa,Leva do Riley .,evitar desperdiçar um item,C
449,Jesse aprofundou a compreensão de Remy do livro explicando os capítulos em profundidade.,O que é que o Jesse precisa de fazer antes disto?,- Ótimo.,Senta-te com o Remy.,Vai para a escola.,B
450,A Aubrey viu o amigo do Kai e transmitiu uma mensagem para ele.,Como é que o Kai se sentiria?,irritado como resultado,feliz,Considerado como resultado,B
451,O Austin tentou proteger-se de uma desgosto evitando relacionamentos.,O que é que o Austin vai querer fazer a seguir?,Seja realista,Salta de alegria .,chorar,A
452,O grupo chegou atrasado para a reunião importante novamente. Ash perguntou-lhes o que aconteceu.,O que vão sentir os outros?,Humorado por Ashes perguntas para eles,o chefe ou gerente,culpado por ter faltado à reunião pela segunda vez.,C
453,"Depois de todo o estudo que ela fez durante todo o semestre, quando Taylor obteve boas notas, ela decidiu fazer uma longa viagem no verão seguinte.",O que é que a Taylor vai querer fazer a seguir?,Procure lugares divertidos para viajar,Estude mais para as aulas de verão,Volte a fazer as aulas que ela fez .,A
454,"Ash foi embora, apesar de terem sido proibidos e agora estão presos na neve.",O que é que o Ash precisa de fazer antes disto?,Conduzir o carro na neve,Decidi ficar em casa.,- Arranja uma boleia .,A
455,A Aubrey pediu à Skylar para ser sua esposa e quer planear um casamento elegante para junho.,O que é que o Aubrey vai querer fazer a seguir?,Alugue uma carruagem para o casamento.,Encontre um padeiro para fazer uma torta .,Encontre um padeiro para fazer um bolo .,C
456,"O Lee tinha deixado as coisas deles por toda a sala, por isso a Robin guardou as coisas do Lee.",Como se sentiria Lee?,Agradeço a Robin.,Como se fossem mais confusos.,Estou chateado com a Robin.,A
457,A Skylar recuperou os livros da Addison do amigo que os emprestou.,O que é que a Addison vai querer fazer a seguir?,Pede emprestado os livros da Skylar.,Agradeça-lhes por terem voltado .,Sabem que o amigo pediu emprestado livros,B
458,A Tracy emitiu uma ordem à Riley devido ao seu contínuo desafio contra ela.,O que é que a Tracy vai querer fazer a seguir?,Veja a ordem,Ignora a ordem.,- Vai-te embora.,A
459,A Alex soube que a Addison está bem depois de lhe ligar para conversar.,Porque é que a Alex fez isto?,Fala da sua própria vida.,Fiz isto para uma promoção.,Fizeste isto para te dar conta .,C
460,Tracy foi ajudar depois que uma tempestade atingiu a cidade vizinha.,Como se sentiria a Tracy depois?,Estou feliz por ajudar os necessitados.,Irritado por estar a ajudar os necessitados.,animado pela devastação,A
461,A Kendall era amiga da mulher do irmão e sabia tudo sobre ela.,O que é que a Kendall disse ao irmão sobre a mulher dele?,Não queria falar com o irmão dela.,"- Sim, ótimo.",Não gostava muito da mulher do irmão.,B
462,O Ash manteve o exército do Casey enquanto ele estava fora e manteve o exército em forma.,Como se sentiria o Casey?,irritado com cinzas,Feliz com cinzas,zangado com a cinza,B
463,A Riley gozava com a Sydney na escola que ambos frequentavam todos os dias.,O que é que a Sydney vai querer fazer a seguir?,Deixe os amigos gozarem com Sydney,Rindo junto com Riley,Reclamar a um professor,C
464,O Austin nunca usava chapéu porque estava muito calor lá fora.,Porque é que o Austin fez isto?,Não suem.,Fica quente.,apanhar ar fresco.,A
465,"Apesar de ser muito popular e uma líder de torcida, Cameron era muito má nos esportes.",Como se sentiriam os outros?,"confiantes em jogar, já que são melhores nos esportes.",Ciumentos que nunca são escolhidos para a equipa de casa.,"confiantes em jogar , já que são melhores em torcer .",B
466,"Tracy ganhou uma herança inesperada e, então, iniciou um negócio.",Como descreveria Tracy?,excitado em perder dinheiro,feliz em abandonar o seu trabalho diurno, Pronto para iniciar o trabalho,C
467,Sydney assumiu o papel do personagem principal na peça.,O que é que a Sydney vai querer fazer a seguir?,Escolha outra parte .,Faça outra jogada.,Pratique as suas falas.,C
468,"Robin deu um grande jantar para vários amigos e no jantar, Robin serviu comida.",O que vai querer fazer a seguir?,Come a comida.,Sai da festa do jantar.,Servir os convidados dela.,A
469,A Robin era muito nova para se lembrar daquele ano de idade quando morava lá.,Porque é que a Robin se sentiria assim?,uma criança pequena,uma criança,Muito confuso.,A
470,O Jesse tirou o Casey da mesa para que pudessem jogar o jogo.,Porque é que o Jesse fez isto?,Pergunta-lhes sobre o jogo deles.,Faça algo divertido.,Fala com o Casey.,B
471,Ash passou mais tempo no trabalho para garantir que todos os seus trabalhos fossem realizados.,Por que o Ash fez isso?,garantir que eles se deram bem,ser um mau empregado,garantir que eles falharam,A
472,O Skylar trouxe o carro da Riley do estacionamento para ir para casa.,O que vai acontecer com Riley?,Entre no carro,Pergunte sobre o seu carro,ir para casa,C
473,O Jan usou o claxon depois de ligarem o carro para fazer a Bailey apressar-se.,O que é que a Jan precisa de fazer antes disto?,de arrancar o carro,Vai a algum lado com pressa.,Leva a Bailey a algum lado.,A
474,"O Cameron achou que podiam encontrar dinheiro, eram uma pessoa muito determinada.",O que Cameron vai querer fazer a seguir?,olhar ao redor,Queria se tornar uma pessoa rica,não pegar nada,A
