,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
5400,Kai agarrou o queixo de Quinn e abriu a boca de Quinn.,Kai agarrou o mento de Quinn e abriu a boca de Quinn.,O Kai agarrou o queixo do Quinn e abriu a boca dele.,O que Kai vai querer fazer a seguir?,O que o Kai quer fazer em seguida?,O que vai o Kai querer fazer a seguir?,Cala a boca do Quinn.,boca de Quinn,Cala a boca do Quinn.,Verifique o pulso de Quinn,check  Quinn's pulse,Verifica o pulso do Quinn.,alimentar Quinn o jantar,ração Quinn no jantar,Dá o jantar ao Quinn .,C
5401,"Alex era melhor jogador, então ele assumiu a posição de Ash em campo.",Alex foi melhor jogador para assumir a posição de Ash no campo.,"O Alex era melhor jogador, por isso, ele assumiu a posição do Ash no campo.",O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,Ajude a equipe a vencer,ajudar a equipe a vencer,Ajudar a equipa a ganhar,Continue jogando o jogo muito bem,Continuar jogando bem o jogo,Continua a jogar bem.,Aumentar o sucesso da equipe,aumento do sucesso da equipe,aumentar o sucesso da equipa,A
5402,"Os cativos da Addison não queriam ouvi-la, a Addison pregou em voz alta para que tivessem de ouvir.","Os cativos de adison não queriam ouvi-la, e adison falou","Os prisioneiros de Addison não queriam ouvi-la, por isso ela pregou para eles.",Como você descreveria Addison?,Como descreveria Addison?,Como descreveria a Addison?,Derrotado,Defesa,Derrotado,dominante,dominante,dominante,Assustado,Corado,Assustado.,B
5403,Ash disse a seu amigo que ele não queria mais vê-lo.,Ash contou ao amigo que não queria ver mais ele.,Ash disse ao amigo que não queria mais vê-lo.,O que Ash precisa fazer antes disso?,O que é necessário para Ash antes disso?,O que é que o Ash precisa de fazer antes disto?,Ir para a biblioteca,ir à biblioteca,Vai à biblioteca.,Não gosta do seu amigo,desgosto com a amizade,Não gostam do seu amigo,Escrever um livro,escrever um livro,Escrever um livro,B
5404,Kai estava preso em uma multidão na rua e teve que lutar para sair.,Kai estava preso em uma multidão na rua e teve que lutar contra o seu caminho.,Kai ficou preso numa multidão na rua e teve de lutar para sair.,O que Kai precisa fazer antes disso?,O que o Kai precisa fazer antes disso?,O que é que o Kai precisa de fazer antes disto?,sair da multidão ao lado,riz ão án án án án án án án ,Sai da multidão .,Saia da multidão,sair da multidão,Sai da multidão.,ficar parado,pé,Fique quieto.,B
5405,Casey sonhava em escrever o próximo grande romance americano.,Casey sonhou com a escrita do próximo grande romance americano.,O Casey sonhava em escrever o próximo grande romance americano.,O que Casey vai querer fazer a seguir?,O que queremos com Casey?,O que vai querer fazer o Casey a seguir?,Encontre um editor,encontrar um editor,Encontre um editor,Torne-se um escritor famoso,tornar-se um escritor famoso,tornar-me um escritor famoso,Queime o manuscrito,queimaduras,Queima o manuscrito.,A
5406,Cameron renovou seus votos hoje para mostrar seu amor.,Cameron renovou seus votos hoje para mostrar o seu amor.,A Cameron renovou os votos hoje para mostrar o seu amor.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,Faça uma lista,fazer uma lista,Faça uma lista,Beije seu cônjuge,vómitos,beijar o cônjuge,Renove seus votos novamente,renovar novamente os seus votos,Renovar os votos novamente,B
5407,Jan contou aos colegas de trabalho de Casey uma história e Casey ficou louco.,Jan contou uma história dos colegas de Casey e Casey se enloucou.,A Jan contou uma história aos colegas de trabalho do Casey e o Casey ficou zangado.,Como Jan se sentiria depois?,Como se sentiria Jan depois?,Como se sentiria Jan depois?,Perturbado depois,tonturas após,- Desagradável depois.,Feliz depois,feliz depois,feliz depois.,Orgulhoso depois,orgulha,orgulhoso depois,A
5408,Isabella estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Isabella estava aplicando a escola de enfermagem e solicitou a Lee uma carta de recomendação,A Isabella estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que Isabella precisava fazer antes disso?,O que a Isabella precisou antes disso?,O que é que a Isabella precisava de fazer antes disto?,Como uma pessoa útil,Como uma pessoa útil,Como uma pessoa útil,dar a Lee uma entrevista de emprego,deram a Lee uma entrevista de trabalho,Dê a Lee uma entrevista de emprego.,Termine os pré-requisitos de enfermagem,finalizar os pré-requisitos de enfermagem,Ter concluído os pré-requisitos de enfermagem,C
5409,"Skylar foi contado um grande segredo por um amigo. Em vez de manter o segredo, Skylar inclinou a cabeça de Kendall de volta para sussurrá-la.","Skylar foi contado um grande segredo por uma amiga, e em vez de manter o segredo","Skylar foi contada um grande segredo por um amigo, em vez de manter o segredo, ela inclinou a cabeça de Kendall para trás para sussurrá-lo para ela.",Como Skylar se sentiria depois?,Como senti-lo-ia depois?,Como é que a Skylar se sentiria depois?,Como um bom amigo,como um bom amigo,Como um bom amigo.,excitado,excitação,excitado,culpado,culpa,culpado,C
5410,"O Jesse assou bolachas de chocolate e, uma vez acabadas, comeu algumas com um copo de leite.","Jesse fez bolacha de chocolate, depois de feito, comia um copo de leite.",Jesse fez bolinhos de chocolate e depois comeu com um copo de leite.,O que Jesse vai querer fazer a seguir?,O que Jesse quer fazer em seguida?,O que é que o Jesse vai querer fazer a seguir?,Coma o resto dos biscoitos e fique doente,comer o resto dos biscoitos e ficar doente,Come o resto dos biscoitos e adoeces,armazenar o resto dos cookies para mais tarde,conservar o restante dos biscoitos para posterior,Guarde o resto dos biscoitos para mais tarde.,deixe os pratos e as panelas de biscoito todos sujos,folhas as placas e as panelas de biscoito todas sujas,Deixe os pratos e panelas de bolachas todos sujos,B
5411,A Bailey queria ir para a faculdade para ter uma boa carreira.,Bailey queria ir ao colégio para conseguir uma boa carreira.,A Bailey queria ir para a faculdade para ter uma boa carreira.,Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,bem realizado,bem realizado,bem realizado,optimista,optimista,optimista,trabalho duro,Trabalho duro,Trabalhando duro,C
5412,Skylar finalmente conseguiu um emprego com o governo federal.,Skylar finalmente conseguiu um emprego junto ao governo federal.,A Skylar finalmente conseguiu um emprego no governo federal.,Por que Skylar fez isso?,Por que o Skylar fez isso?,Porque é que a Skylar fez isto?,ganhar dinheiro,fazer dinheiro,ganhar dinheiro,ir em férias,férias,ir de férias,ficar em casa,permanência em casa,Fique em casa.,A
5413,Austin chamou Riley de volta e fez muita piada com ele.,Austin chamou de Riley e fez muita brincadeira dele.,O Austin defendeu o Riley e gozou muito com ele.,Como Riley se sentiria como resultado?,Como seria que Riley sentisse como resultado?,Como é que a Riley se sentiria?,bem-vindo como resultado,acolhido como resultado,A Comissão tem de ser muito atenta.,elogiada como resultado,complementado como resultado,E o resultado foi um elogio.,Perturbado como resultado,náusea como resultado,perturbado como resultado,C
5414,"Depois de trabalhar juntos por três meses em um projeto no trabalho, Sasha finalmente se tornou amiga de Casey.","Após trabalhar juntos por três meses em um projeto de trabalho, Sasha acabou se tornando amigo de","Depois de trabalhar juntos durante três meses num projeto no trabalho, Sasha finalmente tornou-se amiga do Casey.",Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,um colega de trabalho irritante,um cotrabalhador irritante,um colega de trabalho irritante,um funcionário amigável,um funcionário amigo,um empregado simpático,um empregado rude,um funcionário-chefe,um empregado grosseiro,B
5415,Bailey apontou o dedo para eles com um olhar acusatório. Agora eles finalmente sabiam quem estava roubando seus almoços.,"Bailey apontou o dedo com uma atitude acusatória, agora eles sabiam quem estava roubando",Bailey apontou o dedo para eles com um olhar acusador.,Porque é que a Bailey fez isto?,Por que Bailey fez isso?,Porque é que a Bailey fez isto?,impedi-los de roubar seus almoços,parar de roubar os almoços,impedi-los de roubar os seus almoços.,Pergunte a eles quem estava roubando os almoços,Pergunte-lhes quem estava roubando os almoços,Pergunta-lhes quem roubava os almoços.,Aponte-os para a direção correta,apontem para a direção adequada,Aponta-os para a direcção certa.,A
5416,Ash saiu de casa para melhor e não voltou.,Ash saiu da casa para o melhor e não voltou.,Ash saiu da casa para melhor e não voltou.,Por que Ash fez isso?,Por que o Ash fez isso?,Porque é que o Ash fez isto?,trazer Ash de volta para a casa,trazer Ash para casa,Traz Ash de volta para casa .,Encontre um novo lugar para viver,encontrar um novo lugar para viver,encontrar um novo lugar para viver,chamar Ash da casa,Chamar Ash de casa,Chame Ash de casa.,B
5417,Austin viu uma nuvem de funil do outro lado da cidade. Eles tentaram evitá-lo.,"Austin viu uma nuvem de funil no outro lado da cidade, tentando evitá-la",O Austin viu uma nuvem de funil do outro lado da cidade.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,escaneie o céu para um clima inclemente,varredura do céu para o inclemento do tempo,Analise o céu para ver se há mau tempo.,Desaparecer,. . . . . . . . . ,- Vai-te embora.,conduzir mais perto,drive nearer,Aproxima-te,B
5418,"Riley deixou a loja com os bens que ela comprou, mas seus pais descobriram.","Riley deixou a loja com os bens que ela cobrou, mas seus pais descobriram.","A Riley saiu da loja com os produtos que roubou, mas os pais descobriram.",O que Riley precisa fazer antes disso?,O que é necessário para que Riley possa fazer antes disso?,O que é que a Riley precisa de fazer antes disto?,necessário para decidir tentar e shoplift,Necessidade de tentar e aplasia,Eu precisava decidir tentar roubar,esconda-se,ocultação,Esconde-te.,Precisava deixar seus pais entrarem em seus planos,necessitou deixar os pais em seus planos,precisava de deixar os pais saberem dos seus planos.,A
5419,Carson deu alguns conselhos ao filho sobre como ser educado com as meninas.,Carson deu algum conselho ao filho sobre como ser educado para as meninas.,Carson deu alguns conselhos ao filho sobre como ser educado com as meninas.,O que seu filho vai querer fazer a seguir?,O que o filho dele quer fazer em seguida?,O que o filho vai querer fazer a seguir?,Ignorar as raparigas,Meninas gnorosas,Ignora as raparigas.,Ouça o pai dele,Ouvir o pai dele,Ouve o pai dele.,Abuso meninas,Meninas de abuso,Abuso de raparigas,B
5420,"Addison estava à procura de um carro novo. Ele viu um anúncio para um carro que ela realmente queria, mas era muito caro.","Addison procurou um novo carro, SHe viu um carro que realmente queria, mas era","A Addison estava à procura de um carro novo e viu um anúncio de um carro que ela queria muito, mas era muito caro.",Como você descreveria Addison?,Como descreveria Addison?,Como descreveria a Addison?,Desiludido com o preço,decepção com o preço,Desiludido com o preço.,Precisando de um carro,na necessidade de um automóvel,Precisam de um carro,muito tenso,Muito alta,muito tenso,A
5421,Cameron chegou a tempo de pegar o avião.,Cameron o fez apenas no momento de pegar o plano.,A Cameron chegou mesmo a tempo de apanhar o avião.,Como você descreveria Cameron?,Como descrever Cameron?,Como descreveria a Cameron?,tarde,tardia,atrasado,alívio,alívio,alívio,Atempado,oportuna,oportuno,C
5422,Jesse trouxe o cão. O cão seria uma adição bem-vinda à família.,"Jesse trouxe o cão, o cão seria um bem-vindo além da família.","O Jesse trouxe o cão, que seria uma adição bem-vinda à família.",Como Jesse se sentiria como resultado?,Como Jesse sentiria como resultado?,Como Jesse se sentiria?,Como um mau proprietário,como um mau proprietário,Como um mau dono.,Maus sobre si mesmos,mal-estar de si,Que se sentem mal consigo mesmos.,Bom sobre si mesmo,bom sobre si,Bom para si,C
5423,Lee conheceu as crianças das pessoas como ele era um pediatra.,Lee conheceu os filhos das pessoas como pediatra.,Lee conheceu crianças de pessoas quando era pediatra.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,Irritado com as crianças,náusea com as crianças,zangado com crianças,bom com crianças,bom com as crianças,bom com crianças,uma criança hater,um hater,Um detestador de crianças,B
5424,Austin listou todos os itens para que a pessoa que estava ouvindo pudesse fazer um inventário.,Austin elencava todos os itens para que a pessoa escutasse pudesse fazer o inventário.,Austin listou cada item para que a pessoa que estava ouvindo pudesse fazer um inventário.,O que Austin precisa fazer antes disso?,O que é necessário para Austin antes disso?,O que é que o Austin precisa de fazer antes disto?,Certifique-se de que a lista estava errada,garantir que a lista foi incorreta,Certifique-se que a lista estava errada.,Ignorar a lista,ignorar a lista,Ignora a lista.,Certifique-se de que a lista estava certa,garantir que a lista estava correta,Certifique-se que a lista estava certa,C
5425,"Robin escreveu uma história sobre a planta local, estava a deixar os resíduos tóxicos entrar na água e a envenenar a água potável.","Robin escreveu uma história sobre a planta local, deixando resíduos tóxicos para a água e intoxic",A Robin escreveu uma história sobre a planta local que deixava resíduos tóxicos na água e envenenava a água potável.,Porque é que a Robin fez isto?,Por que Robin fez isso?,Porque é que a Robin fez isto?,Faça uma extensa pesquisa sobre a planta,realizar extensa pesquisa sobre a planta,Fazer uma extensa pesquisa sobre a planta,Realizar vários testes com a água potável local,realizar os testes múltiplos da água potável local,Realizar vários testes na água potável local,mostrar ao público o que estava acontecendo,mostram o público o que estava acontecendo,mostrar ao público o que estava a acontecer.,C
5426,"Sydney viu seu jovem vizinho caminhando para a escola na chuva torrencial, então Sydney parou o carro e deu-lhes uma carona e os trouxe para a escola.","Sydney viu seus jovens vizinhos caminhando para a escola na chuva de tempestade, então Sydney parou o","Sydney viu o jovem vizinho a ir para a escola na chuva torrencial, então Sydney parou o carro e os levou para a escola.",Como se sentiria Sydney depois?,Como senti-lo-ia depois?,Como é que a Sydney se sentiria depois?,indefeso,lúpulo,Desamparado.,descontente,descaroçado,Desagradável,Satisfeito,satisfeito,- Estou contente.,C
5427,Aubrey viu a amiga de Kai e pegou a carteira que caiu de sua bolsa.,Aubrey viu a amiga do Kai e pegou a carteira que saiu de seu bolso.,A Aubrey viu a amiga do Kai e pegou na carteira que caiu da bolsa dela.,Por que Aubrey fez isso?,Por que o Aubrey?,Porque é que o Aubrey fez isto?,fez isso para ser bom para o amigo de Kai,isso foi bom para a amiga do Kai,Fiz isto para ser simpático com o amigo do Kai.,devolvê-lo,reconstituição,Devolve-me .,fez isso para evitar elogios,fez isso para evitar o esclam,Fizeste isto para evitar elogios,A
5428,"Alex convidou todos para uma festa em sua casa, todos cantaram e dançaram a noite toda.","Alex convidou todos os lugares e teve uma festa na casa, todas cantavam e dançavam a",Alex convidou toda a gente e fez uma festa em casa deles. Todos cantaram e dançaram a noite toda.,O que acontecerá com os outros?,O que acontecerá com os outros?,O que acontecerá aos Outros?,não se divertir,Não ter,Não se diverta.,Elogie Alex,louças Alex,Louve o Alex.,Limpe a bagunça das festas,limpar as partes,Limpa a confusão das festas.,C
5429,Jan estava vendendo produtos de cozinha incomuns e poderia dizer Robin wa interessado.,Jan estava vendendo produtos de cozinha não usuais e poderia contar Robin.,Jan estava a vender produtos de cozinha incomuns e podia dizer à Robin que estava interessada.,O que vai acontecer com Jan?,O que acontecerá com Jan?,O que vai acontecer com Jan?,Faça uma boa salada,fazer uma salada bonita,Faça uma boa salada .,comprar novos utensílios,compra de novos utensílios,comprar utensílios novos,Faça o vendedor do mês,facturar o vendedor do mês,tornar-me o vendedor do mês .,C
5430,Alex deu a Jan os nomes dos suspeitos que tinham que ser investigados.,Alex deu a conhecer os nomes dos suspeitos que tiveram que ser investigados.,Alex deu a Jan os nomes dos suspeitos que tinham de ser investigados.,Como Jan se sentiria como resultado?,Como se sentiria Jan?,Como se sentiria Jan?,obedientes e corajosos,ducto e corajosa,Obediente e corajoso,Preocupado com o crime,preocupado com o crime,preocupado com o crime,Sem qualquer pressão,Não existe pressão suficiente,Não há pressão nenhuma.,A
5431,Kendall completou sua inscrição e a submeteu.,Kendall completou o seu pedido e submeteu-o.,A Kendall preencheu o pedido e enviou-o.,O que vai acontecer com Kendall?,O que acontecerá com Kendall?,O que vai acontecer com a Kendall?,obter o prêmio,adjudicar a premiação,Receber o prémio,não vai enviá-lo para dentro,não o enviará em,Não o enviará.,falhar para fora,falência,falhar,A
5432,Jesse fez o traje de Robin muito extravagante e extremo para que ele se destacasse.,Jesse fez com que o traje de Robin ficasse muito arrolado e extremo para que se destaca,Jesse fez o traje de Robin muito chato e extremo para que se destacasse.,O que Jesse vai querer fazer a seguir?,O que Jesse quer fazer em seguida?,O que é que o Jesse vai querer fazer a seguir?,queria impressionar os outros sobre suas habilidades de confecção de trajes,quis impressionar os outros sobre suas habilidades de confecção de figurino,Queria impressionar os outros com as suas habilidades de fazer trajes.,queria fazer o traje exatamente como foi solicitado,quis fazer o figurino exatamente como foi solicitado,Queria fazer o fato exatamente como foi solicitado.,Dê-o a Robin,Dê-lo a Robin,Dá-o à Robin .,C
5433,Remy chamou seus amigos para sua casa e revelou a causa da morte de Bailey.,Remi chamou seus amigos para a casa e revelou a causa da morte de Bailey.,O Remy chamou os amigos para casa dele e revelou a causa da morte da Bailey.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,Seja lamentado,ser luto,ser lamentado,Chame seus amigos,chame os amigos,Chame os amigos dele.,tomar um banho,tomar um banho,tomar banho,B
5434,Kendall queria ver o novo filme no cinema.,Kendall queria assistir o novo filme no cinema.,Kendall queria ver o novo filme no cinema.,Porque é que o Kendall fez isto?,Por que o Kendall fez isso?,Porque é que a Kendall fez isto?,Veja o filme,ver o filme,Veja o filme,comprar um bilhete de filme,compra de um bilhete de cinema,comprar um bilhete de cinema,Ir para o teatro,ir ao teatro,Vai ao teatro.,A
5435,Carson mudou-se para outro estado para obter uma nova vida e conseguir um novo emprego.,Carson mudou para outro estado para conseguir uma nova vida e conseguir um novo emprego.,Carson mudou-se para outro estado para ter uma nova vida e um novo emprego.,Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,sentindo-se corajoso,sentir- se bravo,Sentindo-se corajoso,livre,,livre,sentir-se preguiçoso,sentir- se preguiça,sentir-se preguiçoso,A
5436,Jordan tinha medo de nadar por medo de se afogar. Ele testou as águas antes de saltar.,"Jordan tinha medo de nadar, testava as águas antes de pular.",Jordan tinha medo de nadar por medo de se afogar. Ele testou as águas antes de saltar.,O que a Jordânia precisa fazer antes disso?,O que o Jordânia precisa fazer antes disso?,O que é que a Jordan precisa de fazer antes disto?,Ir para a areia,ir à areia,Vai para a areia.,a água,a água,A água,Deite-se na areia,ovinos,Deitar na areia,B
5437,Alex levantou-se cedo de manhã e foi para a escola.,Alex chegou cedo de manhã e saiu para a escola.,Alex levantou-se cedo de manhã e foi para a escola.,O que Alex precisa fazer antes disso?,O que é necessário para Alex antes disso?,O que é que a Alex precisa de fazer antes disto?,entrar em seu carro e dirigir para o trabalho,chegar ao seu carro e dirigir-se,Entrem no carro e vão trabalhar.,Coloque seu uniforme escolar,Colocar em seu uniforme escolar,Colocar o uniforme da escola,voltar para a cama,voltar ao leito,Volta para a cama.,B
5438,Alex levou Addison para o abrigo de animais porque Addison era um cão velho e moribundo.,"Alex levou Addison para o abrigo de animais, pois Addison era um cão velho",A Alex levou a Addison para o abrigo de animais porque a Addison era uma cadela velha e moribunda.,O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,Mantenha o cão,manter o cão,Fica com o cão.,Partir abruptamente,folhas abruptas,Sair abruptamente,Diga adeus,adeus,Diz adeus.,C
5439,Kendall levantou dinheiro durante uma angariação de fundos para apoiar os veteranos locais.,Kendall levantou dinheiro durante um caixa para apoiar os veteranos locais.,Kendall arrecadou dinheiro durante uma angariação de fundos para apoiar os veteranos locais.,O que os veteranos vão querer fazer a seguir?,O que os veteranos querem fazer a seguir?,O que os veteranos vão querer fazer a seguir?,Obrigado Kendall,Agradecer a Kendall,Obrigado Kendall .,Dê o dinheiro aos veteranos,Dá o dinheiro aos veterinários,Dê o dinheiro aos veteranos.,Conte todo o dinheiro,conta todo o dinheiro,Conta todo o dinheiro .,A
5440,Lee teve um dia de folga e queria fazer muitas tarefas.,Lee tinha um dia de folga e queria conseguir muita coisa.,O Lee tinha um dia de folga e queria fazer muitas tarefas.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,uma pessoa preguiçosa,uma pessoa preguiça,uma pessoa preguiçosa,Falta de pensamento,Falência de pensamento,Não pensam,um trabalhador duro,um profissional de saúde,um trabalhador árduo,C
5441,Robin esperava por um presente um dia e mal podia esperar para recebê-lo.,Robin esperava um dia de presente e não esperava receber.,Robin esperava um presente um dia e mal podia esperar para recebê-lo.,Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,desiludir,descer,Desiludir,Encantado,Iluída,- Estou encantado.,raivoso,irritação,irritado,B
5442,Robin levou Remy a julgamento porque Remy precisava de uma carona para chegar ao julgamento.,Robin trouxe a Remy para o julgamento porque Remy necessitou de um carro para,A Robin levou o Remy ao julgamento porque o Remy precisava de boleia para chegar ao julgamento.,O que vai acontecer com Robin?,O que acontecerá com Robin?,O que vai acontecer ao Robin?,Amado,amado,Amado,pleiteia um caso,prosseguimento,- Apelação,entediada,prurido,Aborrecido.,A
5443,Bailey apoiou o carro do Ash.,Bailey sustentou o carro de Ash.,A Bailey fez o carro do Ash.,O que vai acontecer com Bailey?,O que acontecerá com Bailey?,O que vai acontecer com a Bailey?,De volta o carro para cima,de trás o carro,"- Não , não .",Agradecer a Bailey por suas ações,Agradecer por todas as suas acções,Agradecer Bailey por suas ações,Pegue seu carro de volta de Bailey,recuperar o seu carro de Bailey,- Não .,A
5444,Addison levou Riley embora quando eles desmaiaram no bar.,Addison retirou Riley quando eles saíram no bar.,A Addison levou a Riley quando desmaiaram no bar.,Como você descreveria Addison?,Como descreveria Addison?,Como descreveria a Addison?,uma pessoa útil,uma pessoa útil,uma pessoa útil,Muito exausto,Muito exaustão,muito exausto,Muito irritado com Riley,Muito irritada com Riley,Muito irritada com o Riley.,A
5445,Remy recebeu a recompensa de Carson sobre como fazer o melhor plano para a economia.,Remy recebeu a recompensa de Carson sobre a forma de fazer o melhor plano para a economia,O Remy recebeu a recompensa do Carson por fazer o melhor plano para a economia.,Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Sentindo-se em conflito,sentir- se enjoado,sentir-se confuso,Sentindo-se passivo,sentir- se passivo,sentir-se passivo,sentindo-se inteligente,sentir- se inteligente,Sentir-se inteligente,C
5446,Addison trabalhava em uma loja de departamentos onde Skylar trabalhava como gerente. Um cliente tinha uma reclamação e queria falar diretamente com o gerente da loja.,"Addison trabalhou em uma loja de departamento onde a Skylar trabalhou como gerente, um cliente",Addison trabalhava numa loja de departamentos onde Skylar trabalhava como gerente.,O que a Skylar vai fazer agora?,O que o Skylar fará agora?,O que vai fazer a Skylar agora?,Abordar as questões,aborde as questões,resolver os problemas,trabalho em seu serviço ao cliente,trabalhar no seu serviço de cliente,Trabalhar no serviço ao cliente.,Ignorar o cliente,ignorar o cliente,Ignorar o cliente,A
5447,Addison moveu o fim da canoa de Jesse para perto de Riley.,Addison mudou o fim da canoa de Jesse próximo à Riley.,A Addison moveu a ponta da canoa do Jesse para perto do Riley.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,Pensava que todos estavam distantes,pensou-se que todos estavam longe de,Pensava que todos estavam muito afastados.,Ajude Riley a entrar na canoa,Ajuda de Riley entrar na canoa,Ajuda o Riley a entrar na canoa .,balançar o barco,rocha o barco,balança o barco,B
5448,Taylor chutou o balde de raiva e machucou o pé.,Taylor tirou o balonete da raiva e dói o pé.,O Taylor deu um pontapé no balde de raiva e magoou o pé.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,frustrado depois,frustradas após,frustrado depois.,Acalme-se depois, Aperto após a,Calma depois.,Orgulhoso depois,orgulha,orgulhoso depois,A
5449,Aubrey sempre pensou em sua mãe toda vez que saíam para tomar sorvete.,Aubrey sempre pensou a mãe dela todas as saídas para sorvete.,A Aubrey sempre pensava na mãe sempre que saíam para comer gelado.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Replay Memórias,replay memories,Memórias de repetição,começar a rir,inicia risos,Começa a rir,comer sorvete,come sorvete,comer sorvete,A
5450,Austin ainda falou com Casey sobre os velhos tempos e queria ir em uma viagem.,Austin ainda falou com Casey sobre os velhos dias e queria ir a uma viagem.,O Austin ainda falava com o Casey sobre os velhos tempos e queria ir numa viagem.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,Prepare-se para a viagem,preparação para a viagem,Preparar-se para a viagem,fazer com que todos abandonem a viagem,conseguir que todos abandonem a viagem,Fazer com que todos abandonem a viagem.,Evite a viagem,Evite a viagem,evitar a viagem,A
5451,Addison inclinou-se em direção a sua paixão Kai e beijou-os suavemente nos lábios.,Addison se desdobrou em direção à sua trituração Kai e os,Addison inclinou-se para o amor deles Kai e beijou-os suavemente nos lábios.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,desinteressado,desinteressado,Desinteressado,um tomador de risco,um tomador de risco,um tomador de riscos,borboletas,borboletas,borboletas,C
5452,Ash era uma pessoa muito responsável e cuidou de tudo.,Ash era uma pessoa muito responsável e cuidava de tudo.,Ash era uma pessoa muito responsável e cuidava de tudo.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,Certifique-se de que ele falha,riz,Certifique-se que falha,Certifique-se de que funciona,Evite o seu funcionamento,Certifique-se que funciona .,Certifique-se de que tudo falha,Evite a falha de tudo,Certifique-se que tudo falha.,B
5453,Kendall tinha ido fazer caminhadas e não tinha sido visto por uma semana. A equipe de busca e resgate precisava de uma fotografia para compartilhar com a notícia que Quinn forneceu.,"Kendall já vinha caminhando e não havia sido visto há uma semana, a equipe de",A equipa de busca e salvamento precisava de uma fotografia para partilhar com as notícias que a Quinn forneceu.,O que é que o Quinn precisa de fazer antes disto?,O que é que Quinn precisa fazer antes disso?,O que é que o Quinn precisa de fazer antes disto?,Certifique-se de que ninguém sabia o que Kendall parecia,não sei como o Kendall,Certificar-me que ninguém soubesse como era a Kendall.,Livre-se da foto porque ela não se importava com Kendall,Sair da foto porque não se importa com Kendall,Livra-te da foto porque ela não se importou com a Kendall.,Envolva-se no esforço de busca,estar envolvido no esforço de busca,Participar no esforço de busca,C
5454,"O Kendall tinha a bicicleta do Casey, tinha de a emprestar por uns tempos.","Kendall ganhou a bicicleta de Casey, precisou de emprestado por algum tempo.","O Kendall comprou a bicicleta do Casey, ele precisava dela emprestada.",O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,Recupere sua bicicleta de volta,recuperar a bicicleta,Leva a bicicleta de volta .,Mantenha-o por muito tempo,riz Deverá ser monitorizada atentamente a situação de utilização de Nespo e,"- Não, não.",Devolver a bicicleta,Retorno da bicicleta,Devolve a bicicleta.,C
5455,"Os assentos foram embutidos, mas era muito caro para ela pagar, então ela teve que obter um cartão de crédito.","As cadeiras foram construídas, mas eram muito caras para que ela pudesse obter um cartão de crédito","Os assentos foram construídos, mas eram caros demais para ela pagar, por isso teve de comprar um cartão de crédito.",O que vai acontecer com Skylar?,O que acontecerá com o Skylar?,O que vai acontecer à Skylar?,Você tem que pedir dinheiro emprestado,Tem que tomar dinheiro,Tenho de pedir dinheiro emprestado.,Gastar demais,desperdícios,gastar muito,entrar em dívida,débito,entrar em dívida,C
5456,Bailey gosta de ver seu cão se divertindo com outros cães.,Bailey gosta de ver o cão dele um bom tempo com outros cães.,O Bailey gosta de ver o cão dele a divertir-se com outros cães.,Porque é que a Bailey fez isto?,Por que Bailey fez isso?,Porque é que a Bailey fez isto?,Faça novos amigos,fazer novos amigos,fazer novos amigos,Ama o seu cão,ama o cão,Ama o cão dele.,Converse com outros donos de cães,Fale com outros proprietários de cães,falar com outros donos de cães,B
